Altium Designer Pick and Place Locations
D:\Applications\hardware\pca10100\trunk\production_files\400442_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       02.10.19
Time:       17.56
Revision:   17205
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C6","4.7µF","TopLayer","CAPC1608X06L","108.6862","0.9174","270","Capacitor, X7R, ±10%, 6.3V"
"C18","4.7µF","TopLayer","CAPC1608X06L","110.1886","0.9174","270","Capacitor, X7S, ±10%, 10V"
"C15","47nF","TopLayer","CAPC1005X04L","112.8014","10.6934","0","Capacitor, X7R, ±10%, 10V"
"L3","10µH","TopLayer","INDC1608X06L","110.9136","11.5174","270","Inductor, 250mA, ±20%, 1.05ohm. -55°C ~ 125°C"
"L4","15nH","TopLayer","INDC1005X04L","111.3886","13.2424","180","Inductor, 320mA, ±5%"
"C14","1.0µF","TopLayer","CAPC1608X06L","112.8136","11.7314","180","Capacitor, X7R, ±10%"
"C2","12pF","TopLayer","CAPC1005X04L","118.1468","11.8628","90","Capacitor, NP0, ±2%"
"C9","820pF","TopLayer","CAPC1005X04L","121.0636","3.8674","360","Capacitor, NP0, ±5%, 50V"
"X1","32MHz","TopLayer","BT-XTAL_2016","119.9248","11.8628","180","XTAL SMD 2016, 32MHz, Cl=8pF, Tol: ±10ppm, Stab: ±15ppm"
"C1","12pF","TopLayer","CAPC1005X04L","121.7028","11.8628","270","Capacitor, NP0, ±2%"
"C11","100pF","TopLayer","CAPC1005X04L","120.2636","9.4924","0","Capacitor, NP0, ±5%"
"C12","100nF","TopLayer","CAPC1005X04L","116.5886","10.6924","180","Capacitor, X7R, ±10%"
"C3","1.0pF","TopLayer","CAPC1005X04L","119.7152","7.1428","270","Capacitor, NP0, ±0.1pF"
"L1","4.7nH","TopLayer","INDC1005X04L","121.1376","6.6348","360","Inductor, 160mA, ±0.1nH"
"C4","1.2pF","TopLayer","CAPC1005X04L","122.5701","7.1882","270","Capacitor, NP0, ±0.1pF"
"L2","2.2nH","TopLayer","INDC1005X04L","124.0028","6.6344","0","Inductor, 220mA, ±0.1nH"
"C10","N.C.","TopLayer","CAPC1005X04L","120.2636","8.5924","180","Not mounted"
"R99","10k","TopLayer","RESC0603X03L_C","46.7360","7.4250","90","Resistor, ±1%, 0.05W"
"R5","10k","TopLayer","RESC0603X03L_C","96.5454","28.1686","90","Resistor, ±1%, 0.05W"
"R69","649R","TopLayer","RESC0603X03L_C","51.9684","14.0208","90","Resistor, ±1%, 0.05W"
"R98","4R7","TopLayer","RESC0603X03L_C","87.7824","-16.7894","360","Resistor, ±1%, 0.05W"
"R97","4R7","TopLayer","RESC0603X03L_C","31.7500","7.6708","180","Resistor, ±1%, 0.05W"
"U26","74LVC1G11","TopLayer","SOT65P210X100-6N","21.6662","-21.3360","270","Single 3-input AND gate"
"R96","1M0","TopLayer","RESC0603X03L_C","22.5044","-19.3294","360","Resistor, ±1%, 0.05W"
"R95","100k","TopLayer","RESC0603X03L_C","19.4310","-17.0434","270","Resistor, ±1%, 0.05W"
"Q84","PMCPB5530","TopLayer","DFN65P200X200X80_HS-6N","22.9512","-17.3938","270","Mosfet Array N and P-Channel 20V 4A (Ta), 3.4A (Ta) 490mW Surface Mount 6-HUSON-EP (2x2)"
"C94","100nF","TopLayer","CAPC0603X03L_C","21.9456","-23.3426","180","Capacitor, X5R, ±10%"
"R2","0R","TopLayer","RESC0603X03L_C","103.4034","5.5880","90","Resistor, ±5%, 0.05W"
"R1","0R","TopLayer","RESC0603X03L_C","104.3178","5.5880","90","Resistor, ±5%, 0.05W"
